,Actual size,Exposure,Maintenance fees,Age of building,Outdoor space,Locker,Property type:,Area:,Parking,Bed,Studio,Bath,Den
299,551,9,381.92,1,3,3,1,7,0,1,0,1,1
300,496,3,398.85,1,3,4,1,81,0,1,0,1,0
301,574,3,376.46,2,3,4,1,61,1,1,0,1,1
302,860,6,820,8,3,4,1,76,0,2,0,2,0
303,1016,5,498.42,31,2,4,1,80,0,2,0,2,1
304,645,9,692,2,3,4,1,21,1,1,0,1,1
305,882,8,857.69,2,3,4,1,21,1,3,0,2,0
306,808,6,630.35,4,3,4,1,91,0,2,0,2,0
307,527,6,408.03,7,1,4,1,61,0,1,0,1,0
308,681,2,622.99,0,3,4,1,45,1,1,0,1,1
309,743,5,623.03,49,3,3,1,89,1,2,0,1,0
310,734,7,705.2,13,3,4,1,129,1,1,0,2,1
311,736,6,798.15,21,3,3,1,91,1,1,0,1,1
312,1310,3,1056.5,31,3,2,1,114,1,2,0,2,1
313,655,9,534.03,14,3,4,0,7,1,1,0,1,1
314,2040,6,2655.08,37,3,2,1,95,0,2,0,2,0
315,1184,9,743.95,30,2,3,1,96,0,2,0,2,0
316,900,0,768.53,19,4,3,2,118,0,2,0,2,0
317,969,3,740,47,3,2,1,79,0,1,0,1,1
318,880,6,610.61,11,3,4,1,61,1,1,0,1,1
319,450,8,423.85,6,3,3,1,70,0,1,0,1,0
320,634,6,589.36,19,3,4,1,91,0,1,0,1,0
321,505,9,366.15,1,2,2,1,21,0,1,0,1,0
322,665,0,578.49,16,3,3,1,22,1,1,0,1,1
323,605,0,539.97,5,3,4,1,66,0,1,0,1,1
324,600,0,411.43,14,3,3,1,107,0,1,0,1,0
325,565,9,374.13,9,3,3,1,61,0,1,0,1,0
326,755,9,653.59,5,3,4,1,70,1,2,0,2,0
327,583,2,544.21,5,0,4,1,81,0,1,0,1,1
328,1004,3,736.39,8,3,4,1,76,1,2,0,2,1
329,377,3,263.01,14,2,3,1,43,0,,1,1,0
330,1095,9,731.45,8,3,4,1,68,0,2,0,2,0
331,594,8,549.62,8,3,4,1,49,1,1,0,1,1
332,839,6,731.99,17,4,4,1,61,0,1,0,2,1
333,3171,8,2327.53,30,0,1,1,107,2,2,0,3,1
334,936,0,700.76,2,4,4,1,128,0,3,0,2,1
335,652,0,450.84,29,2,4,1,5,0,1,0,1,0
336,443,9,284.22,6,3,3,1,22,0,,1,1,0
337,901,9,711.99,36,4,3,1,19,0,2,0,1,0
338,1059,6,1119.67,18,3,4,1,67,0,2,0,2,0
339,1110,3,1033.74,24,1,4,1,21,1,2,0,2,0
340,681,5,581.89,3,3,4,1,81,0,2,0,2,0
341,884,9,776.31,4,4,4,1,124,0,2,0,2,0
342,3314,8,2662.66,13,3,4,1,4,4,3,0,3,1
343,674,8,659.68,0,3,4,1,108,0,2,0,1,0
344,804,3,675.71,14,3,4,1,81,1,2,0,2,0
345,531,7,502.43,0,4,4,1,86,1,1,0,2,1
346,682,3,556.95,2,3,4,1,108,0,1,0,1,1
347,819,0,723,11,3,4,1,124,1,1,0,1,1
348,656,9,712.51,32,2,4,1,21,1,1,0,1,1
